time,open,high,low,close,Volume,Open,High,Low,Close,Volume
2020-03-02,6.89772394,6.9149122,6.50164662,6.886016,890745560,6.89772394,6.9149122,6.50164662,6.886016,890745560
2020-03-03,6.94172838,7.00160082,6.53801847,6.62345908,652793120,6.94172838,7.00160082,6.53801847,6.62345908,652793120
2020-03-04,6.73082343,7.09675902,6.65609186,7.08729302,597407360,6.73082343,7.09675902,6.65609186,7.08729302,597407360
2020-03-05,6.88775973,7.05466024,6.76320711,6.80779695,540327480,6.88775973,7.05466024,6.76320711,6.80779695,540327480
2020-03-06,6.62819208,6.68573539,6.42691505,6.62719566,515412280,6.62819208,6.68573539,6.42691505,6.62719566,515412280
2020-03-09,5.97603457,6.46178978,5.93318847,6.11403887,614158400,5.97603457,6.46178978,5.93318847,6.11403887,614158400
2020-03-10,6.39054568,6.50363946,6.12773966,6.50363946,580648720,6.39054568,6.50363946,6.12773966,6.50363946,580648720
2020-03-11,6.36351777,6.39204032,6.04254567,6.13969671,502067720,6.36351777,6.39204032,6.04254567,6.13969671,502067720
2020-03-12,5.61632662,5.88184788,5.37569096,5.38839533,816541400,5.61632662,5.88184788,5.37569096,5.38839533,816541400
2020-03-13,5.74187565,6.00393436,5.47060005,5.99945047,634837720,5.74187565,6.00393436,5.47060005,5.99945047,634837720
2020-03-16,5.29124428,5.63226935,4.83264155,4.8924268,726972120,5.29124428,5.63226935,4.83264155,4.8924268,726972120
2020-03-17,5.00477326,5.50173821,4.75790998,5.41230943,833631960,5.00477326,5.50173821,4.75790998,5.41230943,833631960
2020-03-18,4.98447119,5.22971529,4.50085081,5.05235236,874266280,4.98447119,5.22971529,4.50085081,5.05235236,874266280
2020-03-19,5.03092931,5.39885775,4.81744613,5.30519418,765513880,5.03092931,5.39885775,4.81744613,5.30519418,765513880
2020-03-20,5.45540463,5.73739176,5.10989567,5.1253402,804634160,5.45540463,5.73739176,5.10989567,5.1253402,804634160
2020-03-23,5.12434378,5.39263011,4.94523711,5.29821923,643874640,5.12434378,5.39263011,4.94523711,5.29821923,643874640
2020-03-24,5.70450987,6.29389285,5.68084487,6.20720423,1101643800,5.70450987,6.29389285,5.68084487,6.20720423,1101643800
2020-03-25,6.32229085,6.52207325,6.06969814,6.11852277,793430680,6.32229085,6.52207325,6.06969814,6.11852277,793430680
2020-03-26,6.32577832,6.53203746,6.22763086,6.40798305,697587680,6.32577832,6.53203746,6.22763086,6.40798305,697587680
2020-03-27,6.22763086,6.55439963,6.19474897,6.29563659,638829760,6.22763086,6.55439963,6.19474897,6.29563659,638829760
2020-03-30,6.36115127,6.62520281,6.31705964,6.61598592,602250120,6.36115127,6.62520281,6.31705964,6.61598592,602250120
2020-03-31,6.65609186,6.86035566,6.42068742,6.56641398,949960560,6.65609186,6.86035566,6.42068742,6.56641398,949960560
2020-04-01,6.36837532,6.5148492,6.0104111,6.05500093,656913120,6.36837532,6.5148492,6.0104111,6.05500093,656913120
2020-04-02,6.08414625,6.377094,6.03606894,6.36389142,675764520,6.08414625,6.377094,6.03606894,6.36389142,675764520
2020-04-03,6.32627653,6.36787711,5.93841968,6.07592577,663213840,6.32627653,6.36787711,5.93841968,6.07592577,663213840
2020-04-06,6.358162,6.72285207,6.30061869,6.68598449,727882480,6.358162,6.72285207,6.30061869,6.68598449,727882480
